SA3_CODE16,Year,WB,rsWB
50402,2012,0.0038149011985408846,0.23214285714285715
50403,2012,0.013712835995431466,0.5744047619047619
50501,2012,0.02758783585763371,0.7440476190476191
50502,2012,0.04400186941775155,0.8065476190476191
50503,2012,0.01275040868551299,0.5535714285714286
50601,2012,0.021637678306253544,0.6994047619047619
50602,2012,0.349798357735119,0.9613095238095238
50603,2012,0.09239089997328066,0.9047619047619048
50604,2012,0.002507550187859436,0.15773809523809523
50605,2012,0.005934778149838012,0.30654761904761907
50606,2012,0.00752900739660019,0.37202380952380953
50607,2012,0.5694631873210984,0.9761904761904762
50701,2012,0.06222179891508117,0.875
50702,2012,0.01768940073488286,0.6458333333333334
50703,2012,0.009614150430674843,0.4642857142857143
50704,2012,0.06413075967638782,0.8779761904761905
50705,2012,0.0528361979451661,0.8452380952380952
50901,2012,0.014498333273766303,0.5803571428571429
50902,2012,0.011697318158862336,0.5297619047619048
50903,2012,0.0110492861704285,0.5178571428571429
51001,2012,0.0068833058618356395,0.34226190476190477
51002,2012,0.05318338946300158,0.8511904761904762
51003,2012,0.021425237860529113,0.6934523809523809
51101,2012,0.03645005550703817,0.7857142857142857
51102,2012,0.08893218699207153,0.9017857142857143
51103,2012,0.009553907436662123,0.46130952380952384
51104,2012,0.009361809998925184,0.45535714285714285
60101,2012,0.0033597147562324857,0.20535714285714285
60102,2012,0.002878091482784827,0.17559523809523808
60103,2012,0.0015945643266010406,0.13690476190476192
60104,2012,6.143623911104342e-4,0.08035714285714286
60105,2012,4.919029040650107e-4,0.06845238095238096
60106,2012,0.0038052680143522933,0.22916666666666666
60201,2012,0.03639992515414929,0.7827380952380952
60202,2012,0.012322504287668573,0.5476190476190477
60203,2012,0.008898267181046908,0.42857142857142855
60301,2012,0.03632644740941887,0.7797619047619048
60302,2012,9.735439968439952e-4,0.10714285714285714
60303,2012,0.0033206054493809187,0.20238095238095238
60401,2012,0.00621280111382774,0.31845238095238093
60402,2012,0.01083175643209685,0.5148809523809523
60403,2012,0.00967576973933014,0.46726190476190477
70101,2012,0.006277275804709652,0.3273809523809524
70102,2012,0.016067086683886678,0.6130952380952381
70103,2012,0.018776349308925525,0.6607142857142857
70104,2012,0.004572749463283802,0.27380952380952384
70201,2012,0.003087836181976936,0.18452380952380953
70202,2012,0.01012896365615383,0.49107142857142855
