SA3_CODE16,Year,AST,rsAST,COPD,rsCOPD,RESP,rsRESP
60103,2011,NA,NA,NA,NA,NA,NA
60104,2011,NA,NA,NA,NA,NA,NA
60105,2011,NA,NA,NA,NA,NA,NA
60106,2011,NA,NA,NA,NA,NA,NA
60201,2011,NA,NA,NA,NA,NA,NA
60202,2011,NA,NA,NA,NA,NA,NA
60203,2011,NA,NA,NA,NA,NA,NA
60301,2011,NA,NA,NA,NA,NA,NA
60302,2011,NA,NA,NA,NA,NA,NA
60303,2011,NA,NA,NA,NA,NA,NA
60401,2011,NA,NA,NA,NA,NA,NA
60402,2011,NA,NA,NA,NA,NA,NA
60403,2011,NA,NA,NA,NA,NA,NA
70101,2011,NA,NA,NA,NA,NA,NA
70102,2011,NA,NA,NA,NA,NA,NA
70103,2011,NA,NA,NA,NA,NA,NA
70104,2011,NA,NA,NA,NA,NA,NA
70201,2011,NA,NA,NA,NA,NA,NA
70202,2011,NA,NA,NA,NA,NA,NA
70203,2011,NA,NA,NA,NA,NA,NA
70204,2011,NA,NA,NA,NA,NA,NA
70205,2011,NA,NA,NA,NA,NA,NA
80101,2011,NA,NA,NA,NA,NA,NA
80103,2011,NA,NA,NA,NA,NA,NA
80104,2011,NA,NA,NA,NA,NA,NA
80105,2011,NA,NA,NA,NA,NA,NA
80106,2011,NA,NA,NA,NA,NA,NA
80107,2011,NA,NA,NA,NA,NA,NA
80108,2011,NA,NA,NA,NA,NA,NA
80109,2011,NA,NA,NA,NA,NA,NA
80110,2011,NA,NA,NA,NA,NA,NA
80111,2011,NA,NA,NA,NA,NA,NA
10102,2012,NA,NA,NA,NA,NA,NA
10103,2012,NA,NA,NA,NA,NA,NA
10104,2012,NA,NA,NA,NA,NA,NA
10105,2012,NA,NA,NA,NA,NA,NA
10106,2012,NA,NA,NA,NA,NA,NA
10201,2012,NA,NA,NA,NA,NA,NA
10202,2012,NA,NA,NA,NA,NA,NA
10301,2012,NA,NA,NA,NA,NA,NA
10302,2012,NA,NA,NA,NA,NA,NA
10303,2012,NA,NA,NA,NA,NA,NA
10304,2012,NA,NA,NA,NA,NA,NA
10401,2012,NA,NA,NA,NA,NA,NA
10402,2012,NA,NA,NA,NA,NA,NA
10501,2012,NA,NA,NA,NA,NA,NA
10502,2012,NA,NA,NA,NA,NA,NA
10503,2012,NA,NA,NA,NA,NA,NA
10601,2012,NA,NA,NA,NA,NA,NA
10602,2012,NA,NA,NA,NA,NA,NA
10603,2012,NA,NA,NA,NA,NA,NA
10604,2012,NA,NA,NA,NA,NA,NA
10701,2012,NA,NA,NA,NA,NA,NA
10702,2012,NA,NA,NA,NA,NA,NA
10703,2012,NA,NA,NA,NA,NA,NA
10704,2012,NA,NA,NA,NA,NA,NA
10801,2012,NA,NA,NA,NA,NA,NA
10802,2012,NA,NA,NA,NA,NA,NA
10803,2012,NA,NA,NA,NA,NA,NA
10804,2012,NA,NA,NA,NA,NA,NA
10805,2012,NA,NA,NA,NA,NA,NA
10901,2012,NA,NA,NA,NA,NA,NA
10902,2012,NA,NA,NA,NA,NA,NA
10903,2012,NA,NA,NA,NA,NA,NA
11001,2012,NA,NA,NA,NA,NA,NA
11002,2012,NA,NA,NA,NA,NA,NA
11003,2012,NA,NA,NA,NA,NA,NA
11004,2012,NA,NA,NA,NA,NA,NA
11101,2012,NA,NA,NA,NA,NA,NA
11102,2012,NA,NA,NA,NA,NA,NA
11103,2012,NA,NA,NA,NA,NA,NA
11201,2012,NA,NA,NA,NA,NA,NA
11202,2012,NA,NA,NA,NA,NA,NA
11203,2012,NA,NA,NA,NA,NA,NA
11301,2012,NA,NA,NA,NA,NA,NA
11302,2012,NA,NA,NA,NA,NA,NA
11303,2012,NA,NA,NA,NA,NA,NA
11401,2012,NA,NA,NA,NA,NA,NA
11402,2012,NA,NA,NA,NA,NA,NA
11501,2012,NA,NA,NA,NA,NA,NA
11502,2012,NA,NA,NA,NA,NA,NA
11503,2012,NA,NA,NA,NA,NA,NA
11504,2012,NA,NA,NA,NA,NA,NA
11601,2012,NA,NA,NA,NA,NA,NA
11602,2012,NA,NA,NA,NA,NA,NA
11603,2012,NA,NA,NA,NA,NA,NA
11701,2012,NA,NA,NA,NA,NA,NA
11702,2012,NA,NA,NA,NA,NA,NA
11703,2012,NA,NA,NA,NA,NA,NA
11801,2012,NA,NA,NA,NA,NA,NA
11802,2012,NA,NA,NA,NA,NA,NA
11901,2012,NA,NA,NA,NA,NA,NA
11902,2012,NA,NA,NA,NA,NA,NA
11903,2012,NA,NA,NA,NA,NA,NA
11904,2012,NA,NA,NA,NA,NA,NA
12001,2012,NA,NA,NA,NA,NA,NA
12002,2012,NA,NA,NA,NA,NA,NA
12003,2012,NA,NA,NA,NA,NA,NA
12101,2012,NA,NA,NA,NA,NA,NA
12102,2012,NA,NA,NA,NA,NA,NA
12103,2012,NA,NA,NA,NA,NA,NA
12104,2012,NA,NA,NA,NA,NA,NA
12201,2012,NA,NA,NA,NA,NA,NA
12202,2012,NA,NA,NA,NA,NA,NA
12203,2012,NA,NA,NA,NA,NA,NA
12301,2012,NA,NA,NA,NA,NA,NA
12302,2012,NA,NA,NA,NA,NA,NA
12303,2012,NA,NA,NA,NA,NA,NA
12401,2012,NA,NA,NA,NA,NA,NA
12402,2012,NA,NA,NA,NA,NA,NA
12403,2012,NA,NA,NA,NA,NA,NA
12404,2012,NA,NA,NA,NA,NA,NA
12405,2012,NA,NA,NA,NA,NA,NA
12501,2012,NA,NA,NA,NA,NA,NA
12502,2012,NA,NA,NA,NA,NA,NA
12503,2012,NA,NA,NA,NA,NA,NA
12504,2012,NA,NA,NA,NA,NA,NA
12601,2012,NA,NA,NA,NA,NA,NA
12602,2012,NA,NA,NA,NA,NA,NA
12701,2012,NA,NA,NA,NA,NA,NA
12702,2012,NA,NA,NA,NA,NA,NA
12703,2012,NA,NA,NA,NA,NA,NA
12801,2012,NA,NA,NA,NA,NA,NA
12802,2012,NA,NA,NA,NA,NA,NA
20101,2012,NA,NA,NA,NA,NA,NA
20102,2012,NA,NA,NA,NA,NA,NA
20103,2012,NA,NA,NA,NA,NA,NA
20201,2012,NA,NA,NA,NA,NA,NA
20202,2012,NA,NA,NA,NA,NA,NA
20203,2012,NA,NA,NA,NA,NA,NA
20301,2012,NA,NA,NA,NA,NA,NA
20302,2012,NA,NA,NA,NA,NA,NA
20303,2012,NA,NA,NA,NA,NA,NA
20401,2012,NA,NA,NA,NA,NA,NA
20402,2012,NA,NA,NA,NA,NA,NA
20403,2012,NA,NA,NA,NA,NA,NA
20501,2012,NA,NA,NA,NA,NA,NA
20502,2012,NA,NA,NA,NA,NA,NA
