SA4_CODE16,Year,Month,Week,asrRESP,asrAST,asrCVD,nDeaths
101,2019,10,20,71.9420538157801,12.8285627997522,19.5791323565589,27
101,2019,10,27,67.1242715257198,NA,22.0178753239339,32
101,2019,11,03,73.9286064470682,9.85913105512246,15.2585501806485,28
101,2019,11,10,74.6568797219997,NA,19.7339032901744,29
101,2019,11,17,67.7674684805392,NA,16.0430646179471,33
101,2019,11,24,68.078900443414,NA,16.053391352855,27
101,2019,12,01,59.6638073795295,NA,15.4105085945095,37
101,2019,12,08,72.9998302990982,NA,13.3006654956417,31
101,2019,12,15,65.0252412891997,NA,15.5110402481323,30
101,2019,12,22,83.0257067826552,9.64248063221502,16.0076111533968,32
101,2019,12,29,68.44192698644,8.39480712585646,16.4314729528394,30
101,2020,01,05,55.7527050814065,NA,17.027735016885,31
101,2020,01,12,36.7285302710323,NA,21.9458103518364,27
101,2020,01,19,46.5383385526847,NA,21.8883477390501,42
101,2020,01,26,51.5740886910407,NA,16.3718873031367,38
101,2020,02,02,43.7266332337255,NA,16.4095892054019,29
101,2020,02,09,57.7217422034458,11.9672562944629,19.2899918687558,20
101,2020,02,16,71.6558376852496,14.5488225897752,18.504501472065,35
101,2020,02,23,56.9342150821098,NA,17.8089969161714,25
102,2017,09,01,91.7272048102935,5.46439538217577,19.7000495862887,NA
102,2017,09,08,85.2499701681433,NA,20.608193583636,NA
102,2017,09,15,83.6765518166571,6.47517736920647,19.2048956926681,NA
102,2017,09,22,75.4879576898018,7.17820163430651,21.9304847812385,NA
102,2017,09,29,60.9481943386796,6.75332555857772,15.8465938265274,NA
102,2017,10,06,51.3130277351008,NA,12.3213974025248,NA
102,2017,10,13,51.3454084712314,NA,16.21060981587,NA
102,2017,10,20,59.0510783680652,8.40236050867098,18.6221433460119,NA
102,2017,10,27,59.7388393052961,8.8689037750046,17.1933499010262,NA
102,2017,11,03,50.9407011748685,8.41183209817814,17.1698076732672,NA
102,2017,11,10,49.2090643803626,7.39341056986688,18.8999039869057,NA
102,2017,11,17,53.5966975864657,7.07901326885608,15.3759322288815,NA
102,2017,11,24,52.3070431878478,7.43957423310465,18.9873563741562,NA
102,2017,12,01,39.7302140433361,NA,19.2322440359282,NA
102,2017,12,08,48.1217384879251,NA,18.9021597452213,NA
102,2017,12,15,55.6580264066391,11.0168296209355,15.1685545228678,NA
102,2017,12,22,58.3148131625518,7.67076655896248,17.7783193209227,NA
