SA4_CODE16,Year,Month,asrRESP,asrAST,asrCVD,nDeaths
103,2017,12,75.21776928213963,9.63274578553902,22.73423917166349,NA
104,2017,12,79.46514639911871,NA,18.92377273061902,NA
105,2017,12,96.66601980722507,NA,33.20302189217652,NA
106,2017,12,57.65805321210902,7.11374184326153,19.04643233980807,NA
107,2017,12,40.79973878592591,7.6274551748989055,15.118031585495526,NA
108,2017,12,67.64102528156101,NA,19.427657415428005,NA
109,2017,12,22.514033230125733,NA,NA,NA
110,2017,12,90.75151857109614,14.2280255365656,22.700949448107135,NA
111,2017,12,36.36571619528042,7.5373264299987905,14.625251122959448,NA
112,2017,12,87.0809421790317,11.38941173419844,15.840485883196282,NA
113,2017,12,68.57367849592839,NA,21.473684100113626,NA
114,2017,12,54.45444876352513,NA,14.524662081236439,NA
115,2017,12,19.92860442973037,NA,9.58375355403198,NA
