SA2_MAIN16,Year,NV,rsNV,INT,rsINT,HOSP,rsHOSP,GS,rsGS,VI,rsVI
101041024,2011,2.788244159758855,0.19469424460431656,NA,NA,0.6144393241167435,0.9291958041958042,NA,NA,233.0933787027995,0.8645104895104895
101041025,2011,5.23390458545623,0.447841726618705,NA,NA,0,4.3706293706293706e-4,NA,NA,225.65169906616217,0.8304195804195804
101041026,2011,5.855303494788474,0.49910071942446044,NA,NA,0.12537612838515547,0.6612762237762237,NA,NA,238.00129318237308,0.881993006993007
101041027,2011,6.659888154550076,0.5539568345323741,NA,NA,0,4.3706293706293706e-4,NA,NA,244.11392593383783,0.8946678321678322
101051539,2011,10.08777062609713,0.7634892086330936,NA,NA,0.08737439930100481,0.5878496503496503,NA,NA,152.3178825378419,0.3395979020979021
101051540,2011,2.942449156209433,0.21178057553956833,NA,NA,0.1601152830037627,0.7167832167832168,NA,NA,176.74942906697592,0.5428321678321678
101061541,2011,5.961376994122587,0.5062949640287769,NA,NA,0.1552312946289972,0.7093531468531469,NA,NA,168.57783126831066,0.49256993006993005
101061542,2011,1.201923076923077,0.05665467625899281,NA,NA,0.0870170553428472,0.5874125874125874,NA,NA,171.43989181518566,0.5100524475524476
101061543,2011,8.766233766233766,0.6996402877697842,NA,NA,0.18880392712168412,0.7613636363636364,NA,NA,167.89860280354807,0.486013986013986
101061544,2011,5.555555555555555,0.4716726618705036,NA,NA,0.13726835964310227,0.6818181818181818,NA,NA,162.60940678914383,0.4458041958041958
102011028,2011,2.955271565495208,0.2135791366906475,NA,NA,0,4.3706293706293706e-4,NA,NA,255,0.9335664335664335
102011029,2011,4.405176704828273,0.3723021582733813,NA,NA,0,4.3706293706293706e-4,NA,NA,241.89851379394534,0.8911713286713286
102011030,2011,3.831891223733004,0.3120503597122302,NA,NA,0.640888698995941,0.9340034965034965,NA,NA,219.3534660339355,0.8011363636363636
102011031,2011,9.463113171108535,0.7365107913669064,NA,NA,0.21502293577981652,0.7858391608391608,NA,NA,212.85469563802084,0.770541958041958
102011032,2011,14.90926924963217,0.9136690647482014,NA,NA,0.16088378827693461,0.7185314685314685,NA,NA,187,0.6201923076923077
102011033,2011,2.796528447444552,0.19559352517985612,NA,NA,0.4764930114358323,0.9064685314685315,NA,NA,205.88983408610025,0.7338286713286714
102011034,2011,11.51515151515152,0.8313848920863309,NA,NA,0,4.3706293706293706e-4,NA,NA,227.91300455729183,0.8417832167832168
102011035,2011,4.805194805194805,0.41097122302158273,NA,NA,0.4520114509567576,0.8986013986013986,NA,NA,220.13602956136074,0.8050699300699301
102011036,2011,5.691056910569106,0.48381294964028776,NA,NA,0.38071065989847713,0.8802447552447552,NA,NA,233.46150080362966,0.8658216783216783
102011037,2011,8.01963993453355,0.6528776978417267,NA,NA,0.4803843074459568,0.9077797202797203,NA,NA,187,0.6201923076923077
102011038,2011,4.840613931523023,0.4172661870503597,NA,NA,0,4.3706293706293706e-4,NA,NA,187,0.6201923076923077
102011039,2011,4.948075748320098,0.4231115107913669,NA,NA,0,4.3706293706293706e-4,NA,NA,255,0.9335664335664335
102011040,2011,13.51266812636847,0.8835431654676259,NA,NA,0,4.3706293706293706e-4,NA,NA,217.85180028279632,0.7950174825174825
