SA2_MAIN16,Year,BP,rsBP,BC,rsBC,CS,rsCS,VD,rsVD
103011060,2011,NA,NA,NA,NA,NA,NA,NA,NA
103011061,2011,NA,NA,NA,NA,NA,NA,NA,NA
103021062,2011,NA,NA,NA,NA,NA,NA,NA,NA
103021063,2011,NA,NA,NA,NA,NA,NA,NA,NA
103021064,2011,NA,NA,NA,NA,NA,NA,NA,NA
103021065,2011,NA,NA,NA,NA,NA,NA,NA,NA
103021066,2011,NA,NA,NA,NA,NA,NA,NA,NA
103021067,2011,NA,NA,NA,NA,NA,NA,NA,NA
103021068,2011,NA,NA,NA,NA,NA,NA,NA,NA
103021069,2011,NA,NA,NA,NA,NA,NA,NA,NA
103031070,2011,NA,NA,NA,NA,NA,NA,NA,NA
103031071,2011,NA,NA,NA,NA,NA,NA,NA,NA
103031072,2011,NA,NA,NA,NA,NA,NA,NA,NA
103031073,2011,NA,NA,NA,NA,NA,NA,NA,NA
103031074,2011,NA,NA,NA,NA,NA,NA,NA,NA
103031075,2011,NA,NA,NA,NA,NA,NA,NA,NA
103041076,2011,NA,NA,NA,NA,NA,NA,NA,NA
103041077,2011,NA,NA,NA,NA,NA,NA,NA,NA
103041078,2011,NA,NA,NA,NA,NA,NA,NA,NA
103041079,2011,NA,NA,NA,NA,NA,NA,NA,NA
104011080,2011,NA,NA,NA,NA,NA,NA,NA,NA
104011081,2011,NA,NA,NA,NA,NA,NA,NA,NA
104011082,2011,NA,NA,NA,NA,NA,NA,NA,NA
104021083,2011,NA,NA,NA,NA,NA,NA,NA,NA
104021084,2011,NA,NA,NA,NA,NA,NA,NA,NA
104021085,2011,NA,NA,NA,NA,NA,NA,NA,NA
104021086,2011,NA,NA,NA,NA,NA,NA,NA,NA
104021087,2011,NA,NA,NA,NA,NA,NA,NA,NA
104021088,2011,NA,NA,NA,NA,NA,NA,NA,NA
104021089,2011,NA,NA,NA,NA,NA,NA,NA,NA
104021090,2011,NA,NA,NA,NA,NA,NA,NA,NA
104021091,2011,NA,NA,NA,NA,NA,NA,NA,NA
105011092,2011,NA,NA,NA,NA,NA,NA,NA,NA
105011093,2011,NA,NA,NA,NA,NA,NA,NA,NA
105011094,2011,NA,NA,NA,NA,NA,NA,NA,NA
105011095,2011,NA,NA,NA,NA,NA,NA,NA,NA
105011096,2011,NA,NA,NA,NA,NA,NA,NA,NA
105021097,2011,NA,NA,NA,NA,NA,NA,NA,NA
105021098,2011,NA,NA,NA,NA,NA,NA,NA,NA
105031099,2011,NA,NA,NA,NA,NA,NA,NA,NA
105031100,2011,NA,NA,NA,NA,NA,NA,NA,NA
105031101,2011,NA,NA,NA,NA,NA,NA,NA,NA
105031102,2011,NA,NA,NA,NA,NA,NA,NA,NA
105031103,2011,NA,NA,NA,NA,NA,NA,NA,NA
105031104,2011,NA,NA,NA,NA,NA,NA,NA,NA
105031105,2011,NA,NA,NA,NA,NA,NA,NA,NA
105031106,2011,NA,NA,NA,NA,NA,NA,NA,NA
106011107,2011,NA,NA,NA,NA,NA,NA,NA,NA
106011108,2011,NA,NA,NA,NA,NA,NA,NA,NA
106011109,2011,NA,NA,NA,NA,NA,NA,NA,NA
106011110,2011,NA,NA,NA,NA,NA,NA,NA,NA
106011111,2011,NA,NA,NA,NA,NA,NA,NA,NA
106011112,2011,NA,NA,NA,NA,NA,NA,NA,NA
106011113,2011,NA,NA,NA,NA,NA,NA,NA,NA
106021114,2011,NA,NA,NA,NA,NA,NA,NA,NA
106021115,2011,NA,NA,NA,NA,NA,NA,NA,NA
106021116,2011,NA,NA,NA,NA,NA,NA,NA,NA
106021117,2011,NA,NA,NA,NA,NA,NA,NA,NA
106021118,2011,NA,NA,NA,NA,NA,NA,NA,NA
106031119,2011,NA,NA,NA,NA,NA,NA,NA,NA
106031120,2011,NA,NA,NA,NA,NA,NA,NA,NA
106031121,2011,NA,NA,NA,NA,NA,NA,NA,NA
106031122,2011,NA,NA,NA,NA,NA,NA,NA,NA
106031123,2011,NA,NA,NA,NA,NA,NA,NA,NA
106031124,2011,NA,NA,NA,NA,NA,NA,NA,NA
106031125,2011,NA,NA,NA,NA,NA,NA,NA,NA
106041126,2011,NA,NA,NA,NA,NA,NA,NA,NA
106041127,2011,NA,NA,NA,NA,NA,NA,NA,NA
