STE_CODE16,Year,AvgFCTemp,rHist_AvgFCTemp,nAtRisk_FCHeat,nHighRisk_FCHeat
8,2013,13.83913097447584,0.5833333333333334,51,17
1,2014,17.923060783591406,0.7083333333333334,49,11
2,2014,15.51635523157897,0.875,55,17
3,2014,21.620729058094064,0.625,50,20
4,2014,17.057004083904776,0.7083333333333334,49,14
5,2014,19.375698772109743,0.75,56,18
6,2014,12.412463614329395,0.8333333333333334,50,21
7,2014,26.71962206250573,0.4166666666666667,47,18
8,2014,13.985610384369815,0.625,50,20
1,2015,17.604251560656078,0.4583333333333333,57,14
2,2015,14.991845906351578,0.5416666666666666,54,19
3,2015,21.47294147982917,0.4583333333333333,50,9
4,2015,16.684617370944316,0.5416666666666666,57,25
5,2015,19.414091393200284,0.7916666666666666,57,21
6,2015,11.854300292956435,0.16666666666666666,50,16
7,2015,26.705709384823187,0.375,56,12
8,2015,13.553653408827481,0.25,46,6
